dataset,dataset_index,speaker_id,chapter_id,utterance_id,codec,bitrate,spectral_distortion,lsd_db,retained_bandwidth_hz,hf_power_change_db,estimated_delay_samples,estimated_delay_ms
test-clean,892,2961,960,18,mp3,64k,13.17612361907959,2.7013964653015137,7281.25,-0.7100702871552946,0,0.0
test-clean,892,2961,960,18,mp3,32k,26.522594451904297,4.470487594604492,7281.25,-0.4650983274785888,0,0.0
test-clean,892,2961,960,18,mp3,24k,54.717647552490234,6.158341407775879,5812.5,-1.0445225851116036,0,0.0
test-clean,892,2961,960,18,mp3,16k,99.82086944580078,8.636908531188965,5562.5,-2.126485634958057,0,0.0
test-clean,892,2961,960,18,opus,64k,2.3966305255889893,1.4577082395553589,8000.0,-0.22936523484820176,0,0.0
test-clean,892,2961,960,18,opus,32k,14.227245330810547,3.5319650173187256,8000.0,-2.0145522975494674,0,0.0
test-clean,892,2961,960,18,opus,16k,26.655059814453125,4.978842258453369,8000.0,-2.4176509400742066,0,0.0
test-clean,892,2961,960,18,opus,12k,31.738258361816406,5.479526042938232,8000.0,-1.7924542364813214,0,0.0
test-clean,892,2961,960,18,opus,8k,103.98854064941406,8.998544692993164,4750.0,-15.96789640969317,2,0.125
test-clean,892,2961,960,18,opus,6k,109.7614517211914,9.362384796142578,4593.75,-15.870563771387712,2,0.125
test-clean,1887,6829,68769,27,mp3,128k,31.43629264831543,4.303970813751221,7281.25,-0.750002915363879,0,0.0
test-clean,1887,6829,68769,27,mp3,64k,35.90102005004883,4.808004379272461,7281.25,-0.7782161007407522,0,0.0
test-clean,1887,6829,68769,27,mp3,32k,67.98056030273438,7.073568820953369,7281.25,-0.36327359939213183,0,0.0
test-clean,1887,6829,68769,27,mp3,24k,151.38821411132812,10.307350158691406,5812.5,-1.753664365739217,0,0.0
test-clean,1887,6829,68769,27,mp3,16k,228.82687377929688,12.715493202209473,5562.5,-4.887763599476459,0,0.0
test-clean,1887,6829,68769,27,opus,64k,2.6363773345947266,1.4585351943969727,8000.0,-0.25623427417914985,0,0.0
test-clean,1887,6829,68769,27,opus,32k,19.16289710998535,3.9758241176605225,8000.0,-2.9685539276222412,0,0.0
test-clean,1887,6829,68769,27,opus,16k,33.492759704589844,5.363094806671143,8000.0,-2.9132951730941725,0,0.0
test-clean,1887,6829,68769,27,opus,12k,37.94572830200195,5.739191055297852,8000.0,-1.914957222390337,0,0.0
test-clean,1887,6829,68769,27,opus,8k,221.52267456054688,12.526278495788574,4531.25,-17.37523632395246,2,0.125
test-clean,1887,6829,68769,27,opus,6k,222.10765075683594,12.648645401000977,4593.75,-12.398388941231183,2,0.125
test-clean,428,1580,141084,40,mp3,128k,44.74382019042969,5.539580345153809,7281.25,-0.7771020685792739,0,0.0
test-clean,428,1580,141084,40,mp3,64k,51.20016860961914,6.174394130706787,7281.25,-0.7764379593412307,0,0.0
test-clean,428,1580,141084,40,mp3,32k,83.73318481445312,8.383033752441406,7281.25,-0.40825458928231445,0,0.0
test-clean,428,1580,141084,40,mp3,24k,193.3771514892578,12.222952842712402,5812.5,-2.648023762885246,0,0.0
test-clean,428,1580,141084,40,mp3,16k,285.5758361816406,15.224664688110352,5562.5,-3.9256705166885575,0,0.0
test-clean,428,1580,141084,40,opus,64k,4.09895658493042,1.926039218902588,8000.0,-0.4170916035112493,0,0.0
test-clean,428,1580,141084,40,opus,32k,22.324918746948242,4.565622806549072,8000.0,-3.1974197901433037,0,0.0
test-clean,428,1580,141084,40,opus,16k,38.92967987060547,6.095221519470215,8000.0,-3.249542016517077,0,0.0
test-clean,428,1580,141084,40,opus,12k,43.929893493652344,6.5063629150390625,8000.0,-1.9318342012901144,0,0.0
test-clean,428,1580,141084,40,opus,8k,278.4234924316406,14.654800415039062,4593.75,-19.907739502209548,2,0.125
test-clean,428,1580,141084,40,opus,6k,279.25439453125,14.766929626464844,4625.0,-17.307547430766586,2,0.125
test-clean,1525,5142,33396,63,mp3,128k,1.0118491649627686,0.9625994563102722,7312.5,-0.4510081627327823,0,0.0
test-clean,1525,5142,33396,63,mp3,64k,5.679508209228516,2.1438655853271484,7281.25,-0.39010051392919515,0,0.0
test-clean,1525,5142,33396,63,mp3,32k,33.63310623168945,5.191927909851074,7281.25,-0.05663170957497284,0,0.0
test-clean,1525,5142,33396,63,mp3,24k,61.83746337890625,7.057414531707764,5781.25,-0.7876991038762792,0,0.0
test-clean,1525,5142,33396,63,mp3,16k,138.82139587402344,10.559383392333984,5531.25,-1.4882034089987966,0,0.0
