dataset,codec,bitrate,layer,cosine_mean,cosine_median,cosine_std,drift_mean,drift_median,drift_std,sdrift_mean,sdrift_median,sdrift_std
test-clean,mp3,128k,layer_4,0.9951402807235717,0.9956488907337189,0.0027445908046616493,0.0048597192764282225,0.004351109266281128,0.002744590804661653,0.007044028043746948,0.006262272596359253,0.00405485806812191
test-clean,mp3,64k,layer_4,0.9922399516105652,0.9927570521831512,0.003008163993290106,0.0077600483894348146,0.007242947816848755,0.003008163993290097,0.011384425044059754,0.01061132550239563,0.00444926831189294
test-clean,mp3,32k,layer_4,0.962131343126297,0.9625803232192993,0.008453444298405107,0.037868656873703006,0.037419676780700684,0.008453444298405098,0.056080531597137454,0.055075645446777344,0.012461384848557815
test-clean,mp3,24k,layer_4,0.9152018066644668,0.9188742637634277,0.02107189993458624,0.08479819333553314,0.08112573623657227,0.021071899934586247,0.12426515173912048,0.11845746636390686,0.030618199047178368
test-clean,mp3,16k,layer_4,0.8567541489601135,0.8600613176822662,0.02848902771316479,0.14324585103988646,0.13993868231773376,0.028489027713164822,0.2091526472568512,0.2033429741859436,0.040453032741275714
test-clean,opus,64k,layer_4,0.9960137903690338,0.9970482587814331,0.004082232128040016,0.0039862096309661865,0.0029517412185668945,0.00408223212804003,0.005603615999221802,0.004193127155303955,0.005776035187872477
test-clean,opus,32k,layer_4,0.9820984122753144,0.9834182560443878,0.006535642318163221,0.01790158772468567,0.016581743955612183,0.006535642318163219,0.02520831525325775,0.023541510105133057,0.009255899596981315
test-clean,opus,16k,layer_4,0.9576492124795913,0.9592853784561157,0.01080929649868647,0.042350787520408634,0.04071462154388428,0.010809296498686463,0.06081317007541656,0.05848371982574463,0.015380224995627065
test-clean,opus,12k,layer_4,0.9327063951492309,0.9349032640457153,0.015054052676914096,0.06729360485076905,0.06509673595428467,0.0150540526769141,0.09716095280647277,0.09332287311553955,0.021404392315854077
test-clean,opus,8k,layer_4,0.8129790042638778,0.8156872391700745,0.0347831832665832,0.18702099573612213,0.18431276082992554,0.034783183266583195,0.2697228372693062,0.26599347591400146,0.050019305340050904
test-clean,opus,6k,layer_4,0.7570204808712006,0.7604008913040161,0.0368000365258997,0.24297951912879945,0.2395991086959839,0.03680003652589968,0.3516469343304634,0.3461441993713379,0.05240676637665575
test-other,mp3,128k,layer_4,0.9931841162443161,0.994257777929306,0.00457876496888912,0.006815883755683899,0.00574222207069397,0.004578764968889109,0.010102240324020385,0.008676260709762573,0.006580899212120044
test-other,mp3,64k,layer_4,0.9907926323413849,0.9917579591274261,0.0047614034777575765,0.009207367658615113,0.008242040872573853,0.004761403477757584,0.013748285174369813,0.012498736381530762,0.006839957818073906
test-other,mp3,32k,layer_4,0.963659122467041,0.9637742340564728,0.009689893359639675,0.03634087753295898,0.03622576594352722,0.009689893359639665,0.05495633339881897,0.054642289876937866,0.014431337992080155
test-other,mp3,24k,layer_4,0.9090091958045959,0.9110206067562103,0.028274455489700517,0.09099080419540405,0.08897939324378967,0.028274455489700506,0.13766800117492675,0.13378974795341492,0.042387379590818945
