dataset,dataset_index,speaker_id,chapter_id,utterance_id,codec,bitrate,drift_conv,sdrift_conv,drift_layer_1,sdrift_layer_1,drift_layer_2,sdrift_layer_2,drift_layer_3,sdrift_layer_3,drift_layer_4,sdrift_layer_4,drift_layer_5,sdrift_layer_5,drift_layer_6,sdrift_layer_6,drift_layer_7,sdrift_layer_7,drift_layer_8,sdrift_layer_8,drift_layer_9,sdrift_layer_9,drift_layer_10,sdrift_layer_10,drift_layer_11,sdrift_layer_11,drift_layer_12,sdrift_layer_12
test-clean,2450,8463,294825,8,opus,16k,0.0794908,0.0854973,0.0571654,0.0828429,0.0488366,0.0739962,0.0432128,0.0661469,0.0351696,0.0512145,0.0304368,0.0422958,0.0312332,0.0407559,0.0301148,0.037771,0.0342493,0.0393962,0.0291583,0.038677,0.0214455,0.0401379,0.000612259,0.0260543,0.0140117,0.0385751
test-clean,2450,8463,294825,8,opus,12k,0.119618,0.128021,0.0920197,0.133546,0.079795,0.12266,0.0710497,0.109384,0.0600151,0.0889116,0.0551914,0.0729314,0.0485858,0.0629613,0.0430019,0.0542558,0.0435797,0.05038,0.0356141,0.0461049,0.0261996,0.0477764,0.000569344,0.0283283,0.00947106,0.0284844
test-clean,2450,8463,294825,8,opus,8k,0.313136,0.3241,0.248997,0.341323,0.256213,0.376092,0.235871,0.358559,0.201345,0.301574,0.164629,0.231058,0.149033,0.203506,0.127423,0.165966,0.116028,0.146864,0.0874636,0.117365,0.0656592,0.111343,0.00331306,0.0973898,0.0611339,0.131247
test-clean,2450,8463,294825,8,opus,6k,0.394238,0.408677,0.321348,0.43765,0.323507,0.475075,0.303412,0.457583,0.270124,0.408787,0.233808,0.329494,0.220187,0.303539,0.197958,0.265133,0.186922,0.244469,0.149947,0.205182,0.131648,0.205274,0.0176992,0.241954,0.141024,0.265369
test-clean,1426,5105,28240,9,mp3,128k,0.0101952,0.0107921,0.00759584,0.0105265,0.00645858,0.00922227,0.00539953,0.00789368,0.00435668,0.0062322,0.00385255,0.00458592,0.00221717,0.00292552,0.00232303,0.00325984,0.00250715,0.00382674,0.00214124,0.0038231,0.00151551,0.00351977,5.16772e-05,0.00240755,0.00145876,0.00449145
test-clean,1426,5105,28240,9,mp3,64k,0.0148857,0.015782,0.0108954,0.0153617,0.00926489,0.0135059,0.00781924,0.011746,0.00621259,0.00891525,0.00542176,0.00667655,0.00409585,0.00534123,0.00411075,0.0053755,0.00421667,0.00535893,0.00312442,0.00462973,0.00190228,0.00381804,5.05447e-05,0.00245827,0.00110942,0.00333846
test-clean,1426,5105,28240,9,mp3,32k,0.0672274,0.0707445,0.0551621,0.0790796,0.0492423,0.0741109,0.0424538,0.0661515,0.0325773,0.0485079,0.0233879,0.0306233,0.0176059,0.0228699,0.0154817,0.0199569,0.0141974,0.0178887,0.0110933,0.0161826,0.0070802,0.0134463,0.000263214,0.0114252,0.00660878,0.0160985
test-clean,1426,5105,28240,9,mp3,24k,0.143639,0.14892,0.122077,0.173802,0.112917,0.168475,0.099692,0.149441,0.0790302,0.114512,0.0613996,0.0805277,0.0490644,0.0618848,0.0447037,0.0576974,0.0399907,0.0513962,0.0311456,0.0458555,0.0168403,0.0315939,0.000644326,0.0269419,0.0126632,0.0356796
test-clean,1426,5105,28240,9,mp3,16k,0.238995,0.243664,0.211399,0.292781,0.19881,0.293903,0.172156,0.261082,0.133204,0.196119,0.0992229,0.132779,0.0761561,0.0961436,0.066927,0.0847412,0.0588856,0.0733532,0.0458163,0.065453,0.0269904,0.050364,0.00138354,0.0507752,0.027324,0.0639026
test-clean,1426,5105,28240,9,opus,64k,0.0066784,0.00722784,0.00434691,0.00636202,0.00398582,0.00601393,0.00386953,0.00594193,0.00449753,0.00684917,0.00654972,0.00826085,0.00770891,0.00908929,0.00800765,0.00861049,0.00846773,0.00836378,0.00662202,0.00837082,0.00442874,0.00911176,3.0756e-05,0.00324565,0.000464797,0.00158978
test-clean,1426,5105,28240,9,opus,32k,0.0343225,0.0365931,0.0232657,0.0328025,0.0197163,0.0285531,0.0172108,0.0258521,0.0154992,0.0228712,0.0157909,0.0199944,0.0144982,0.0177235,0.0147965,0.0177249,0.0156989,0.0175714,0.012835,0.0175118,0.00856823,0.0172313,0.000176191,0.00965887,0.00429136,0.0111383
